group,position,team_name,fifa_code,played,won,draw,lost,points,goals_for,goals_against,goal_difference
Brasileirão Série A,1,Palmeiras,121,20,13,5,2,44,34,16,18
Brasileirão Série A,2,Flamengo,127,20,11,6,3,39,37,18,19
Brasileirão Série A,3,Atletico Paranaense,134,20,11,3,6,36,28,19,9
Brasileirão Série A,4,Fluminense,124,20,9,6,5,33,30,25,5
Brasileirão Série A,5,RB Bragantino,794,20,9,4,7,31,26,20,6
Brasileirão Série A,6,Bahia,118,20,8,7,5,31,29,25,4
Brasileirão Série A,7,Botafogo,120,20,8,5,7,29,34,32,2
Brasileirão Série A,8,Atletico-MG,1062,20,8,4,8,28,25,25,0
Brasileirão Série A,9,Corinthians,131,20,7,7,6,28,22,20,2
Brasileirão Série A,10,Coritiba,147,20,7,6,7,27,25,27,-2
Brasileirão Série A,11,Cruzeiro,135,20,7,6,7,27,26,30,-4
Brasileirão Série A,12,Sao Paulo,126,20,7,5,8,26,25,23,2
Brasileirão Série A,13,Vitoria,136,20,7,5,8,26,22,27,-5
Brasileirão Série A,14,Mirassol,7848,20,6,5,9,23,23,27,-4
Brasileirão Série A,15,Santos,128,20,5,7,8,22,29,33,-4
Brasileirão Série A,16,Internacional,119,21,5,7,9,22,23,27,-4
Brasileirão Série A,17,Gremio,130,20,5,7,8,22,22,26,-4
Brasileirão Série A,18,Vasco DA Gama,133,20,5,6,9,21,23,31,-8
Brasileirão Série A,19,Remo,1198,21,5,6,10,21,24,34,-10
Brasileirão Série A,20,Chapecoense B,22722,20,1,7,12,10,19,41,-22
